index,Unnamed: 0,sentence,label
272,272,"Lack of association between PKLR rs3020781 and @GENE$ and @DISEASE$, overweight, obesity and related metabolic phenotypes in a Danish large-scale study: case-control studies and analyses of quantitative traits.",1
310,310,"Single nucleotide polymorphisms (SNPs) in the intracellular pattern recognition receptor nucleotide-binding oligomerization domain-containing protein (NOD2, @GENE$) are associated with @DISEASE$ (CD).",1
7,7,"The TIMP-1 genotype TT in women and T in men at @GENE$ was found to increase @DISEASE$ susceptibility (39% vs 23.8%, P = 0.018 and 67.9% vs 51.6%, P = 0.055, respectively), while women with this genotype were less prone to development of fistulae during follow-up (41.4% vs 68.3%, P = 0.025).",1
240,240,"The present study suggests that genetic variation in or near the @GENE$ gene is associated with both @DISEASE$ and manic disorders, including schizophrenia and bipolar disorder.",1
273,273,"In the case-control association analysis, the g.-247C/T polymorphism at the promoter region (rs10399805; P = 0.0062) and the IVS7+82C/T polymorphism at intron 7 (@GENE$; P = 0.0056) of CHI3L1 showed a significant association with @DISEASE$.",1
26,26,"Individual @GENE$ SNPs, rs1048661, rs3825942, and rs2165241, were not associated with @DISEASE$ in the Chinese population.",0
301,301,The defect in GM-CSF secretion suggests a hitherto unknown role of NOD2 in the pathogenesis of @DISEASE$ and is consistent with the hypothesis that impaired @GENE$ secretion in part constitutes a NOD2-dependent disease risk factor.,0
155,155,"We used a candidate gene approach to identify a set of SNPs, located in a predicted regulatory region on chromosome 1q44 downstream of NLRP3 (previously known as CIAS1 and @GENE$) that are associated with @DISEASE$.",1
322,322,Fetal haemoglobin (@GENE$) level modifies the clinical severity of @DISEASE$.,1
184,184,"These results suggest that gsp mutations up-regulate GHRHR mRNA expression in @DISEASE$ cells, and that gsp mutations desensitize the adenoma cells to GHRH in terms of their @GENE$ expression probably because of their saturation of GHRH signaling.",1
166,166,This review discusses the role of @GENE$ from normal function and its dysfunction in pre-cancerous lesions and @DISEASE$.,1
88,88,Anti-@GENE$ antibody passage across the blood-brain barrier in the SAMP8 mouse model of @DISEASE$: an age-related selective uptake with reversal of learning impairment.,0
28,28,"The results obtained in this study suggest that the A1650G polymorphism in the regulatory region of the @GENE$ gene may be associated with protection from HIV-1 @DISEASE$, while the 1604G allele may have a weak association with the clinical course of infection in DU.",0
128,128,Common variants in the @GENE$ region contribute to @DISEASE$ susceptibility.,1
86,86,These results suggest that @GENE$ may be involved in genetic susceptibility to @DISEASE$.,1
224,224,"@DISEASE$ patients with NOD2 mutations were able to secrete TNF-alpha, but not @GENE$, upon stimulation with NOD2 and TLR-7 ligands.",0
200,200,Hypomorphic @GENE$/NPHP6 mutations result in @DISEASE$ caused by the selective loss of G proteins in cilia of olfactory sensory neurons.,0
344,344,A haplotype of the @GENE$ gene associated with @DISEASE$ in Japanese men.,1
239,239,An anti-inflammatory and anticarcinogenic potential has been inferred from the development of @DISEASE$ and intestinal cancer in GPx1 and @GENE$ double knockout mice.,1
34,34,"An association with the minor allele A of the non-synonymous SNP @GENE$ (rs10735810, FokI, Met1Thr) was observed for @DISEASE$, with an estimated odds ratio (OR) of 1.26 (95% CI = 1.02-1.57; p = 0.036).",0
164,164,Multiple studies have now established the contribution of the interleukin 23 receptor gene (IL23R) to @DISEASE$ (CD) risk in general and of the @GENE$ variant in particular.,1
277,277,"We failed to provide evidence of an association between PKLR rs3020781 and @GENE$ and type 2 diabetes, overweight, @DISEASE$ or related quantitative metabolic phenotypes in large-scale studies of Danes.",0
77,77,@GENE$ gene expression in @DISEASE$ cells significantly surpassed that in normal pancreatic cells.,1
348,348,The @GENE$ gene at 7q22.1 has been shown to be associated with familial intracranial aneurysms (@DISEASE$) in the Japanese population.,1
234,234,"A common SNP upstream of the @GENE$ gene, rs7566605 (g.-10,1025G>C, Chr2:118,552,255, NT_022135.15), was reported to be associated with @DISEASE$ (Body Mass Index, [BMI]) in a genome-wide association scan using the Framingham Heart Study but has not been reproduced in other cohorts.",1
207,207,This first replication study confirms the association of genetic variation in the upstream region of @GENE$ with susceptibility to @DISEASE$.,1
38,38,Regulation of @GENE$ (HES-1) by estradiol and all-trans retinoic acid affects proliferation of human @DISEASE$ cells.,0
264,264,"No significant associations were observed for @DISEASE$ (@GENE$: pAF = 0.49, OR = 1.02 [0.96-1.10]; rs7538490: pAF = 0.84, OR = 0.99 [0.93-1.06]).",1
36,36,"Much of this data has been correlative, until recently with the development of @GENE$ deficient mice which accumulate high levels of mtDNA mutations and show a @DISEASE$ phenotype, that a more causative role has been proposed.",1
55,55,"In the case-control association analysis, the @GENE$ polymorphism at the promoter region (rs10399805; P = 0.0062) and the IVS7+82C/T polymorphism at intron 7 (rs2275353; P = 0.0056) of CHI3L1 showed a significant association with @DISEASE$.",1
2,2,"In summary, we observed associations between @GENE$ gene and BC risk, and a comprehensive analysis using clinical and tumour characteristics as outcome variables has revealed potential associations with @DISEASE$.",1
12,12,"Finally, we tested IL-10 production in peripheral blood mononuclear cells stimulated with @DISEASE$ and found that -819T carriers produced lower levels of @GENE$ when compared with non-carriers.",1
159,159,Women carrying homozygous Asp1104Asp genotypes had a significantly decreased risk of cervical or @DISEASE$ compared to His1104Asp or @GENE$ genotypes.,0
17,17,Vascular endothelial growth factor (@GENE$) promotes @DISEASE$ progression by inducing angiogenesis via VEGF receptors on endothelial cells but also signals directly through receptors such as VEGFR-1 (Flt-1) expressed on tumour cells.,1
163,163,"Therefore, the mutations of the @GENE$ gene are thought to be related with the pathogenesis of @DISEASE$.",1
